City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Manjacaze,MZ,2021-04-24 17:22:26,-24.7117,33.8828,70.27,71,4,6.29,clear sky
60,Benguela,AO,2021-04-24 17:22:26,-12.5763,13.4055,82.22,78,49,5.12,scattered clouds
61,Zhigansk,RU,2021-04-24 17:22:26,66.7697,123.3711,33.1,98,100,10.42,light snow
62,Thompson,CA,2021-04-24 17:22:26,55.7435,-97.8558,23.0,54,90,5.32,light snow
63,Puerto Ayora,EC,2021-04-24 17:20:11,-0.7393,-90.3518,82.4,74,75,12.66,broken clouds
64,Souillac,MU,2021-04-24 17:22:27,-20.5167,57.5167,78.8,89,75,14.97,light rain
65,Yichang,CN,2021-04-24 17:22:27,30.7144,111.2847,57.65,88,100,2.01,light rain
66,Airai,TL,2021-04-24 17:22:27,-8.9266,125.4092,57.0,90,50,2.35,scattered clouds
67,Vestmannaeyjar,IS,2021-04-24 17:22:28,63.4427,-20.2734,44.6,87,90,20.71,drizzle
68,Torbay,CA,2021-04-24 17:22:28,47.6666,-52.7314,51.8,37,75,28.77,broken clouds
69,Cockburn Town,TC,2021-04-24 17:19:59,21.4612,-71.1419,84.2,61,40,13.8,scattered clouds
70,Halifax,CA,2021-04-24 17:18:25,44.6453,-63.5724,62.6,31,13,12.66,few clouds
71,Gravdal,NO,2021-04-24 17:22:28,68.1214,13.5031,36.19,70,87,20.18,overcast clouds
72,Saint Joseph,US,2021-04-24 17:22:29,39.7686,-94.8466,60.01,55,1,21.85,clear sky
73,Vila Franca Do Campo,PT,2021-04-24 17:22:29,37.7167,-25.4333,59.0,88,75,16.11,broken clouds
74,Port Alfred,ZA,2021-04-24 17:22:29,-33.5906,26.891,68.38,84,51,10.87,broken clouds
75,Dali,CN,2021-04-24 17:17:36,25.7,100.1833,59.68,50,1,5.44,clear sky
76,Yenagoa,NG,2021-04-24 17:22:29,4.9247,6.2642,81.93,73,97,7.36,overcast clouds
77,Mar Del Plata,AR,2021-04-24 17:22:30,-38.0023,-57.5575,66.2,63,40,12.66,scattered clouds
78,Vaini,TO,2021-04-24 17:18:35,-21.2,-175.2,69.8,100,75,2.3,broken clouds
79,Ixtapa,MX,2021-04-24 17:22:30,20.7,-105.2,80.6,65,75,5.75,broken clouds
80,Gilgit,PK,2021-04-24 17:22:30,35.9221,74.3087,54.95,36,23,3.04,few clouds
81,Sao Filipe,CV,2021-04-24 17:22:31,14.8961,-24.4956,72.25,73,50,13.22,scattered clouds
82,Hobart,AU,2021-04-24 17:21:32,-42.8794,147.3294,50.0,81,96,6.91,overcast clouds
83,Naze,JP,2021-04-24 17:22:31,28.3667,129.4833,64.98,66,93,19.62,overcast clouds
84,Lewistown,US,2021-04-24 17:18:22,40.5992,-77.5714,64.0,38,87,1.99,overcast clouds
85,Yulara,AU,2021-04-24 17:21:51,-25.2406,130.9889,55.4,54,49,5.75,scattered clouds
86,Miyako,JP,2021-04-24 17:22:31,39.6367,141.9525,52.81,71,100,1.12,overcast clouds
87,Sistranda,NO,2021-04-24 17:17:40,63.7256,8.834,37.4,81,40,11.5,scattered clouds
88,Karabuk,TR,2021-04-24 17:18:21,41.2049,32.6277,57.11,89,100,4.45,overcast clouds
89,Sitka,US,2021-04-24 17:20:10,57.0531,-135.33,51.8,37,1,3.8,clear sky
90,Moscow,RU,2021-04-24 17:22:13,55.7522,37.6156,39.2,87,90,13.42,moderate rain
91,Hansi,IN,2021-04-24 17:22:32,29.1,75.9667,79.97,16,0,8.5,clear sky
92,Karratha,AU,2021-04-24 17:22:32,-20.7377,116.8463,79.39,40,0,5.61,clear sky
93,Vao,NC,2021-04-24 17:22:33,-22.6667,167.4833,76.01,66,100,11.05,overcast clouds
94,Mahon,ES,2021-04-24 17:22:33,39.8885,4.2658,62.6,59,20,9.22,few clouds
95,Alta Gracia,AR,2021-04-24 17:22:33,-31.6529,-64.4283,75.0,56,75,10.36,broken clouds
96,New Norfolk,AU,2021-04-24 17:20:37,-42.7826,147.0587,50.0,82,100,1.01,overcast clouds
97,Pingliang,CN,2021-04-24 17:22:34,35.5392,106.6861,45.7,90,100,3.22,overcast clouds
98,Bambous Virieux,MU,2021-04-24 17:22:34,-20.3428,57.7575,79.0,89,75,14.97,light rain
99,Dikson,RU,2021-04-24 17:22:34,73.5069,80.5464,13.96,85,100,18.45,overcast clouds
100,Barrow,US,2021-04-24 17:22:34,71.2906,-156.7887,19.4,86,1,3.44,clear sky
101,Nome,US,2021-04-24 17:22:35,64.5011,-165.4064,28.99,80,20,3.06,few clouds
102,La Asuncion,VE,2021-04-24 17:22:35,11.0333,-63.8628,73.4,94,47,23.02,scattered clouds
103,Hermanus,ZA,2021-04-24 17:22:35,-34.4187,19.2345,64.0,78,97,1.99,overcast clouds
104,Dauphin,CA,2021-04-24 17:22:35,51.1494,-100.0502,42.8,28,20,10.36,few clouds
105,Rafaela,AR,2021-04-24 17:22:36,-31.2503,-61.4867,70.0,63,80,7.0,broken clouds
106,Launceston,AU,2021-04-24 17:19:05,-41.45,147.1667,42.01,81,52,1.14,broken clouds
107,East London,ZA,2021-04-24 17:22:36,-33.0153,27.9116,64.4,88,0,4.61,clear sky
108,Karnobat,BG,2021-04-24 17:22:36,42.65,26.9833,53.6,82,75,8.05,broken clouds
109,Kampong Chhnang,KH,2021-04-24 17:22:37,12.1667,104.55,80.69,73,92,1.66,overcast clouds
110,Nemuro,JP,2021-04-24 17:22:37,43.3236,145.575,38.73,95,100,10.54,light rain
111,Plastun,RU,2021-04-24 17:22:37,44.7561,136.2939,37.99,53,0,6.46,clear sky
112,Hohhot,CN,2021-04-24 17:22:38,40.8106,111.6522,55.4,58,0,6.71,clear sky
113,Kirakira,SB,2021-04-24 17:22:38,-10.4544,161.9205,79.14,80,96,3.78,overcast clouds
114,Kodiak,US,2021-04-24 17:17:55,57.79,-152.4072,41.0,87,90,5.75,light rain
115,Tilichiki,RU,2021-04-24 17:22:38,60.4667,166.1,22.57,91,99,5.55,overcast clouds
116,Banda Aceh,ID,2021-04-24 17:21:07,5.5577,95.3222,80.26,75,100,10.54,overcast clouds
117,Jalingo,NG,2021-04-24 17:22:39,8.8833,11.3667,96.22,34,57,10.67,broken clouds
118,Ibra,OM,2021-04-24 17:22:39,22.6906,58.5334,86.49,21,71,12.15,broken clouds
119,Iqaluit,CA,2021-04-24 17:20:47,63.7506,-68.5145,33.8,86,75,2.3,broken clouds
120,Sakakah,SA,2021-04-24 17:20:09,29.9697,40.2064,89.6,9,40,3.44,scattered clouds
121,Payo,ID,2021-04-24 17:20:45,-3.7508,103.6372,74.75,89,99,1.7,overcast clouds
122,Lagoa,PT,2021-04-24 17:19:07,39.05,-27.9833,58.84,81,31,27.4,scattered clouds
123,Luancheng,CN,2021-04-24 17:22:39,37.8792,114.6517,57.2,77,0,4.47,clear sky
124,Bela,IN,2021-04-24 17:22:40,25.9333,81.9833,89.78,13,60,9.93,broken clouds
125,Nizwa,OM,2021-04-24 17:22:40,22.9333,57.5333,88.14,14,80,3.8,broken clouds
126,Marawi,PH,2021-04-24 17:22:40,7.9986,124.2928,77.0,89,46,7.0,scattered clouds
127,Bonthe,SL,2021-04-24 17:22:40,7.5264,-12.505,86.76,60,41,12.73,scattered clouds
