City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,192,Quatre Cocos,MU,2021-04-24 17:22:56,-20.2078,57.7625,79.0,89,75,14.97,light rain
194,194,Manta,EC,2021-04-24 17:21:32,-0.95,-80.7333,80.6,78,40,9.22,scattered clouds
196,196,Lhokseumawe,ID,2021-04-24 17:22:57,5.1801,97.1507,77.0,89,100,4.94,overcast clouds
197,197,Ambilobe,MG,2021-04-24 17:22:57,-13.2,49.05,75.22,89,38,2.71,scattered clouds
198,198,Humaita,BR,2021-04-24 17:22:57,-7.5061,-63.0208,84.96,81,86,3.24,overcast clouds
207,207,Nazareno,MX,2021-04-24 17:22:59,25.3833,-103.4167,78.8,7,1,8.14,clear sky
209,209,Vila Velha,BR,2021-04-24 17:20:47,-20.3297,-40.2925,82.4,61,20,10.36,few clouds
210,210,Lufilufi,WS,2021-04-24 17:23:00,-13.8745,-171.5986,73.4,100,20,8.81,few clouds
211,211,Cabo San Lucas,MX,2021-04-24 17:23:00,22.8909,-109.9124,82.99,41,1,8.05,clear sky
212,212,Lambarene,GA,2021-04-24 17:23:00,-0.7001,10.2406,72.61,92,100,0.65,overcast clouds
214,214,Gat,IL,2021-04-24 17:21:51,31.61,34.7642,71.01,100,0,5.03,clear sky
220,220,Fare,PF,2021-04-24 17:23:02,-16.7,-151.0167,79.88,73,100,7.52,light rain
222,222,Uthal,PK,2021-04-24 17:23:03,25.8072,66.6219,84.52,54,0,5.86,clear sky
225,225,Belen,TR,2021-04-24 17:23:04,36.4891,36.2233,75.2,46,0,4.61,clear sky
230,230,Dingle,PH,2021-04-24 17:23:05,10.9995,122.6711,76.64,83,82,2.13,light rain
235,235,Caucaia,BR,2021-04-24 17:22:17,-3.7361,-38.6531,84.2,79,75,16.11,broken clouds
237,237,Chuy,UY,2021-04-24 17:21:04,-33.6971,-53.4616,71.73,66,100,8.99,overcast clouds
240,240,Mangrol,IN,2021-04-24 17:23:07,21.1167,70.1167,81.05,81,100,13.0,overcast clouds
243,243,Kibaha,TZ,2021-04-24 17:23:08,-6.7667,38.9167,78.8,83,75,13.8,broken clouds
245,245,Tuy Hoa,VN,2021-04-24 17:23:09,13.0833,109.3,78.57,87,17,3.22,few clouds
246,246,Vallenar,CL,2021-04-24 17:23:09,-28.5708,-70.7581,74.68,35,0,5.5,clear sky
249,249,Teahupoo,PF,2021-04-24 17:23:10,-17.8333,-149.2667,77.0,78,75,2.3,light rain
250,250,Mayumba,GA,2021-04-24 17:23:10,-3.432,10.6554,79.25,83,85,6.96,light rain
252,252,Acuexcomac,MX,2021-04-24 17:23:10,19.0333,-98.3833,75.2,23,1,2.51,clear sky
253,253,Teluk Nibung,ID,2021-04-24 17:23:10,3.0010000000000003,99.8164,74.88,91,100,4.92,overcast clouds
255,255,Carutapera,BR,2021-04-24 17:23:11,-1.195,-46.02,83.41,79,95,5.84,overcast clouds
256,256,Asyut,EG,2021-04-24 17:23:11,27.180999999999997,31.1837,82.4,32,0,11.5,clear sky
259,259,Dhidhdhoo,MV,2021-04-24 17:23:12,6.8833,73.1,84.02,70,47,4.0,scattered clouds
261,261,Camargo,MX,2021-04-24 17:23:13,27.6667,-105.1667,72.7,10,0,3.94,clear sky
263,263,Mitsamiouli,KM,2021-04-24 17:23:13,-11.3847,43.2844,80.96,77,99,10.8,light rain
265,265,Faanui,PF,2021-04-24 17:20:32,-16.4833,-151.75,79.79,75,100,8.39,light rain
266,266,Grand Baie,MU,2021-04-24 17:23:14,-20.0182,57.5802,79.0,82,98,7.0,overcast clouds
269,269,Port-Gentil,GA,2021-04-24 17:20:43,-0.7193,8.7815,82.4,83,75,8.05,broken clouds
281,281,Bandar,ID,2021-04-24 17:23:17,2.05,99.75,73.33,97,100,2.59,overcast clouds
282,282,Gazanjyk,TM,2021-04-24 17:23:18,39.2446,55.5154,74.91,41,70,8.43,broken clouds
284,284,Cap Malheureux,MU,2021-04-24 17:23:18,-19.9842,57.6142,79.0,82,99,7.0,overcast clouds
285,285,Davila,PH,2021-04-24 17:23:18,18.4726,120.5763,75.81,81,1,11.88,clear sky
288,288,Victoria,HK,2021-04-24 17:23:19,22.2855,114.1577,77.0,86,37,1.99,scattered clouds
290,290,Marsh Harbour,BS,2021-04-24 17:23:20,26.5412,-77.0636,76.28,70,100,16.15,overcast clouds
298,298,Lagos,NG,2021-04-24 17:23:22,6.5833,3.75,84.2,79,40,11.5,scattered clouds
301,301,Daguma,PH,2021-04-24 17:23:23,6.5867,124.5472,75.42,81,69,2.82,broken clouds
302,302,Daytona Beach,US,2021-04-24 17:23:05,29.2108,-81.0228,82.4,54,75,16.11,broken clouds
303,303,Cairns,AU,2021-04-24 17:23:23,-16.9167,145.7667,75.2,94,75,11.5,moderate rain
304,304,Samarai,PG,2021-04-24 17:23:23,-10.6167,150.6667,81.86,80,100,14.07,overcast clouds
308,308,Matay,EG,2021-04-24 17:23:24,28.419,30.7792,82.65,14,3,8.46,clear sky
321,321,Sao Mateus,BR,2021-04-24 17:23:27,-18.7161,-39.8589,84.81,54,49,3.67,scattered clouds
328,328,Bandarbeyla,SO,2021-04-24 17:23:30,9.4942,50.8122,83.5,75,50,10.54,scattered clouds
335,335,Itarema,BR,2021-04-24 17:23:31,-2.9248,-39.9167,83.41,78,65,14.47,moderate rain
340,340,Pangkalanbuun,ID,2021-04-24 17:23:32,-2.6833,111.6167,75.22,89,39,1.12,scattered clouds
342,342,Turayf,SA,2021-04-24 17:23:33,31.6725,38.6637,84.2,18,75,27.63,broken clouds
345,345,Wapi Pathum,TH,2021-04-24 17:23:34,15.8452,103.3768,84.0,99,86,10.27,overcast clouds
346,346,Poum,NC,2021-04-24 17:23:34,-20.2333,164.0167,78.24,81,94,13.96,overcast clouds
358,358,Morondava,MG,2021-04-24 17:23:37,-20.2833,44.2833,80.31,74,2,11.52,clear sky
362,362,Sambava,MG,2021-04-24 17:20:49,-14.2667,50.1667,77.38,84,18,12.26,few clouds
363,363,Nalut,LY,2021-04-24 17:23:38,30.3333,10.85,77.79,21,0,15.57,clear sky
365,365,Marzuq,YE,2021-04-24 17:23:39,14.4,46.4667,74.01,63,19,11.07,few clouds
367,367,Saint-Pierre,RE,2021-04-24 17:23:39,-21.3393,55.4781,77.0,88,20,26.46,light rain
372,372,Kahului,US,2021-04-24 17:19:38,20.8947,-156.47,71.6,94,40,16.11,light rain
375,375,Biak,ID,2021-04-24 17:23:41,-0.9131,122.8766,77.34,76,78,5.14,broken clouds
376,376,Ca Mau,VN,2021-04-24 17:22:54,9.1769,105.15,80.08,81,42,3.56,scattered clouds
381,381,Beloha,MG,2021-04-24 17:20:08,-25.1667,45.05,75.85,64,1,12.77,clear sky
387,387,Denpasar,ID,2021-04-24 17:23:44,-8.65,115.2167,80.6,89,20,5.75,few clouds
391,391,Lorengau,PG,2021-04-24 17:23:45,-2.0226,147.2712,80.1,78,46,5.03,scattered clouds
400,400,Mweka,CD,2021-04-24 17:23:47,-4.85,21.5667,71.73,88,85,2.39,light rain
401,401,Ankazoabo,MG,2021-04-24 17:23:47,-22.2833,44.5167,76.73,47,6,6.04,clear sky
409,409,Simao,CN,2021-04-24 17:21:40,22.7886,100.9748,71.13,32,17,0.94,few clouds
410,410,Baturaja,ID,2021-04-24 17:23:50,-4.1333,104.1667,73.6,91,99,2.66,overcast clouds
412,412,Aden,YE,2021-04-24 17:23:50,12.7794,45.0367,82.87,77,49,15.32,scattered clouds
413,413,Isangel,VU,2021-04-24 17:23:51,-19.55,169.2667,77.34,82,83,10.45,broken clouds
416,416,Belmonte,BR,2021-04-24 17:23:51,-15.8631,-38.8828,82.4,69,40,13.8,scattered clouds
418,418,Venado Tuerto,AR,2021-04-24 17:23:52,-33.7456,-61.9688,75.0,99,1,20.0,clear sky
