City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2021-04-22 02:42:38,-46.2817,169.8464,59.0,79,50,1.99
68,Quatre Cocos,MU,2021-04-22 02:42:39,-20.2078,57.7625,77.0,88,40,3.44
69,Thompson,CA,2021-04-22 02:42:14,55.7435,-97.8558,46.4,39,20,3.44
70,Zhicheng,CN,2021-04-22 02:42:39,30.2956,111.5047,73.0,64,48,5.95
71,Bredasdorp,ZA,2021-04-22 02:42:39,-34.5322,20.0403,62.6,94,100,12.66
72,Dalbandin,PK,2021-04-22 02:42:40,28.8947,64.4101,77.92,20,0,9.98
73,Kruisfontein,ZA,2021-04-22 02:42:40,-34.0033,24.7314,63.0,97,100,1.01
74,Scharbeutz,DE,2021-04-22 02:42:40,54.0333,10.75,42.01,70,71,10.0
75,Pevek,RU,2021-04-22 02:42:40,69.7008,170.3133,30.99,72,23,16.17
76,Tasiilaq,GL,2021-04-22 02:42:41,65.6145,-37.6368,26.6,54,75,19.57
77,Cedral,MX,2021-04-22 02:42:41,23.8,-100.7333,57.7,83,55,22.55
78,Asau,RO,2021-04-22 02:42:41,46.4333,26.4,42.01,58,0,6.06
79,East London,ZA,2021-04-22 02:42:42,-33.0153,27.9116,67.95,89,79,4.5
80,Kapaa,US,2021-04-22 02:42:42,22.0752,-159.319,77.0,83,90,5.75
81,Nome,US,2021-04-22 02:42:42,64.5011,-165.4064,44.6,36,1,3.44
82,Muncar,ID,2021-04-22 02:41:11,-8.4333,114.3333,83.43,58,83,4.92
83,Alta Floresta,BR,2021-04-22 02:42:42,-9.8756,-56.0861,70.14,97,77,2.04
84,Praya,CV,2021-04-22 02:42:43,14.9215,-23.5087,69.8,78,20,13.8
85,Carnarvon,AU,2021-04-22 02:42:43,-24.8667,113.6333,82.4,28,100,12.66
86,Hermanus,ZA,2021-04-22 02:42:43,-34.4187,19.2345,66.99,86,88,5.99
87,Castro,BR,2021-04-22 02:42:44,-24.7911,-50.0119,56.19,92,86,6.89
88,Menongue,AO,2021-04-22 02:42:44,-14.6585,17.691,56.91,69,0,4.65
89,Katsuura,JP,2021-04-22 02:42:44,35.1333,140.3,77.0,16,75,11.5
90,Udachnyy,RU,2021-04-22 02:42:44,66.4167,112.4,22.6,80,100,11.56
91,Jamestown,US,2021-04-22 02:40:01,42.097,-79.2353,26.6,86,75,9.22
92,Port Alfred,ZA,2021-04-22 02:42:45,-33.5906,26.891,68.83,90,100,5.57
93,Karlivka,UA,2021-04-22 02:42:45,49.4567,35.1295,41.85,87,5,6.44
94,Havre-Saint-Pierre,CA,2021-04-22 02:42:45,50.2334,-63.5986,35.6,87,90,3.44
95,Grand Gaube,MU,2021-04-22 02:42:46,-20.0064,57.6608,75.99,85,99,1.01
96,Sao Jose Da Coroa Grande,BR,2021-04-22 02:42:46,-8.8978,-35.1478,77.76,82,94,5.1
97,Antofagasta,CL,2021-04-22 02:42:46,-23.65,-70.4,60.8,88,75,9.22
98,Denpasar,ID,2021-04-22 02:42:46,-8.65,115.2167,84.2,65,20,8.05
99,Price,US,2021-04-22 02:42:47,39.5994,-110.8107,51.8,24,40,14.97
100,Vanimo,PG,2021-04-22 02:42:47,-2.6741,141.3028,85.87,63,100,6.71
101,Isangel,VU,2021-04-22 02:42:47,-19.55,169.2667,84.2,79,75,9.66
102,New Norfolk,AU,2021-04-22 02:42:47,-42.7826,147.0587,60.01,58,75,8.01
103,Monrovia,LR,2021-04-22 02:42:48,6.3005,-10.7969,79.92,83,100,5.3
104,Sayyan,YE,2021-04-22 02:38:44,15.1718,44.3244,55.98,30,26,3.38
105,Cap Malheureux,MU,2021-04-22 02:42:48,-19.9842,57.6142,75.99,85,99,1.01
106,Greifswald,DE,2021-04-22 02:42:48,54.1,13.3833,39.99,80,24,17.49
107,West Fargo,US,2021-04-22 02:42:49,46.875,-96.9004,46.99,45,90,9.22
108,Suaita,CO,2021-04-22 02:42:49,6.1014,-73.4404,59.14,97,99,2.51
109,Lebu,CL,2021-04-22 02:40:16,-37.6167,-73.65,52.72,81,26,10.04
110,Leh,IN,2021-04-22 02:42:49,34.1667,77.5833,29.98,88,100,5.06
111,Lorengau,PG,2021-04-22 02:42:50,-2.0226,147.2712,86.2,69,97,7.9
112,Bambous Virieux,MU,2021-04-22 02:42:50,-20.3428,57.7575,77.0,88,40,3.44
113,Port Elizabeth,ZA,2021-04-22 02:42:50,-33.918,25.5701,64.4,94,40,9.22
114,Tual,ID,2021-04-22 02:42:50,-5.6667,132.75,83.23,71,28,4.97
115,Avarua,CK,2021-04-22 02:42:51,-21.2078,-159.775,82.4,65,40,13.8
116,Abu Samrah,SY,2021-04-22 02:42:51,35.3029,37.1841,54.3,58,2,4.56
117,Hithadhoo,MV,2021-04-22 02:42:51,-0.6,73.0833,82.65,68,71,4.94
118,Opuwo,NA,2021-04-22 02:42:52,-18.0607,13.84,67.91,36,41,11.7
119,Kigoma,TZ,2021-04-22 02:42:52,-4.8769,29.6267,68.0,94,20,5.61
120,Shimoda,JP,2021-04-22 02:42:52,34.6667,138.95,68.0,34,0,6.91
121,Airai,TL,2021-04-22 02:42:53,-8.9266,125.4092,75.07,52,32,2.28
122,Bandarbeyla,SO,2021-04-22 02:42:53,9.4942,50.8122,81.28,80,15,3.06
123,Georgetown,MY,2021-04-22 02:39:40,5.4112,100.3354,86.0,79,20,3.44
124,Thinadhoo,MV,2021-04-22 02:42:53,0.5333,72.9333,82.45,64,14,5.32
125,Baruun-Urt,MN,2021-04-22 02:42:53,46.6806,113.2792,56.3,38,65,16.42
126,Fatsa,TR,2021-04-22 02:42:54,41.0278,37.5014,51.8,100,75,1.14
127,Vila Velha,BR,2021-04-22 02:42:54,-20.3297,-40.2925,73.4,83,0,4.61
128,Marathon,US,2021-04-22 02:42:54,44.9,-89.7668,35.6,41,75,9.22
129,Pacific Grove,US,2021-04-22 02:42:55,36.6177,-121.9166,52.0,89,71,7.83
130,Arona,ES,2021-04-22 02:42:55,28.0996,-16.681,66.99,77,75,1.14
131,Hatta,IN,2021-04-22 02:42:55,24.1167,79.6,84.6,24,20,3.51
132,Yulara,AU,2021-04-22 02:42:55,-25.2406,130.9889,75.2,25,0,11.5
133,Leningradskiy,RU,2021-04-22 02:42:56,69.3833,178.4167,36.63,75,4,4.56
134,Fayaoue,NC,2021-04-22 02:42:56,-20.65,166.5333,78.15,76,2,7.0
135,Flinders,AU,2021-04-22 02:42:56,-34.5833,150.8552,68.0,41,1,10.0
136,Victoria,HK,2021-04-22 02:39:17,22.2855,114.1577,80.01,71,0,3.0
137,Kavieng,PG,2021-04-22 02:42:56,-2.5744,150.7967,84.31,69,82,9.51
138,Chichica,PA,2021-04-22 02:42:57,8.4922,-82.1627,74.1,87,81,4.14
139,Zhigansk,RU,2021-04-22 02:42:57,66.7697,123.3711,13.3,70,100,2.82
140,Rio Gallegos,AR,2021-04-22 02:42:57,-51.6226,-69.2181,30.2,69,0,8.05
141,Grindavik,IS,2021-04-22 02:42:58,63.8424,-22.4338,42.8,93,90,14.97
142,Chimbote,PE,2021-04-22 02:42:58,-9.0853,-78.5783,66.67,90,7,6.33
143,Barguzin,RU,2021-04-22 02:42:58,53.6167,109.6167,32.63,42,59,1.7
144,Ponta Do Sol,PT,2021-04-22 02:42:58,32.6667,-17.1,63.0,78,79,1.01
145,Fort Smith,US,2021-04-22 02:40:35,35.3859,-94.3986,53.6,37,1,4.61
146,Mitsamiouli,KM,2021-04-22 02:42:59,-11.3847,43.2844,80.98,75,67,8.48
147,Maldonado,UY,2021-04-22 02:42:59,-34.6667,-54.9167,64.4,82,0,6.91
148,Ancud,CL,2021-04-22 02:42:59,-41.8697,-73.8203,46.0,100,0,4.03
149,Manado,ID,2021-04-22 02:43:00,1.487,124.8455,91.4,52,20,2.3
150,Cidreira,BR,2021-04-22 02:43:00,-30.1811,-50.2056,70.25,62,89,17.52
151,Saint-Joseph,RE,2021-04-22 02:43:00,-21.3667,55.6167,77.0,83,0,8.05
152,Cap-Aux-Meules,CA,2021-04-22 02:43:00,47.3821,-61.8597,44.6,76,80,13.8
153,Manta,EC,2021-04-22 02:42:17,-0.95,-80.7333,77.0,83,90,3.44
154,Alofi,NU,2021-04-22 02:43:01,-19.0595,-169.9187,86.0,70,75,10.36
